"Which day eventually became the official day of Mexican Independence?",conversational
"Do opinions differ on the numbers for that population is considered not a part of the mainstream",conversational
"What year did May of the Thousand Days come out?",conversational
"What are aspirated consonants in the Asian language?",conversational
"Who is often listed amongst the world's worst offenders when it comes to human rights?",conversational
"Automobile transportation is primarily used in what areas of London?",conversational
"What are too technical to sit well in \"history of science\" programs?",conversational
"What group makes up a minority of the privinces population?",conversational
"In what state's supreme court was State v. Santiago not decided?",conversational
"Who ruled the Franks in the 700's?",conversational
"Who was given the grandiose title?",conversational
"Does summertime gets weather hotter than 90 degrees?",conversational
"In what year did the Union Forces capture New Orleans?",conversational
"Outside of employment, what is the other main issue that affirmative action focuses on?",conversational
"Professor Skousen left what position in 1988?",conversational
"How tall are the mountains in New Hampshire?",conversational
"What written tradition was maintained in early literature?",conversational
"Where is the highest point in the British Isles?",conversational
"Which organization has not had corruption in the educator sector?",conversational
"How many new parks have been created in Paris since 1977?",conversational
"Where was dominant theory created?",conversational
"what type of climate does the eastern great plains fall into?",conversational
"What philosophers placed revelation above reason?",conversational
"What is not distinctive about the biretta of a cardinal?",conversational
"Who was ordered by the senate to become commander in the conflict with King Mithridates?",conversational
"What does grey-box testing involve?",conversational
"What type of person embraces all aspirations towards a true or essential identity?",conversational
"Who was not the chief official of the university?",conversational
"What does the Unnecessary and Proper Clause do? ",conversational
"Who erected a number of large stelae in pre-Christian times?",conversational
"What declined after the fall of the Holy Roman Empire?",conversational
"How many jobs in 2008 in Greece were not related to the tourism industry?",conversational
"What does God use Jehovah's Witnesses for?",conversational
"In what year had the previous library been built?",conversational
"What is the national capital of India?",conversational
"What is the name of the travel magazine sold by The Times?",conversational
"What was eventually restored by the TA?",conversational
"Which government awards the Order of the Chrysanthemum?",conversational
"On what did the Vedanta school lessen focus?",conversational
"Which country was administering forced abortions?",conversational
"What treaty put Palermo under Austrian rule in the 17th century?",conversational
"Who is stated as a jack of all trades in service to Fr\u00e9d\u00e9ric?",conversational
"Who carried the castle?",conversational
"In what year didn't Belgrade fall to the Ottomans?",conversational
"What plan did the DoD release in 2005?",conversational
"What is an integral part of the Alpine economy?",conversational
"What material wrinkles easily?",conversational
"How are genes transferred to a plant by scientists?",conversational
"What name did the Anglo-Saxons give their settlement first?",conversational
"What is a Greek royal palace called?",conversational
"What date was the charter regarding Southampton's tax farm signed at Orival?",conversational
"What was Queen's 1984 Christmas song called?",conversational
"What person gave up New Amsterdam to the English?",conversational
"What is the final sequencing goal of sequencing diploid cotton genomes first ?",conversational
"What was the combination of Hauptschulen with Realschulen and Gesamtschulen not called in Berlin?",conversational
"Who was the IBM ceo in November 2008?",conversational
"Where did the Detroit Drive play their home games?",conversational
"Arthropods and cephalopods have brains that come from a pair of what?",conversational
"In what year was the Eton Manor Boys' Club established?",conversational
"What industries is Brasilia trying to encourage?",conversational
"If someone where to recall a wedding they had went to a year before, which type of memory would be used?",conversational
